                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.57071,                 1.5716,                 1.0329,                0.60016,                0.26064,                0.14532,                0.10794,                0.88362,                  11.08,                 1.4741,             0.00054477,             0.00054477,             0.00054477
                      2,                0.72368,                0.99987,                 1.0944,                0.02425,                0.24867,                0.00483,                0.00267,                 2.7948,                    inf,                 20.865,              0.0010895,              0.0010895,              0.0010895
                      3,                0.81968,                0.96474,                 1.1532,                 0.0241,                0.12352,                0.01083,                0.00569,                 2.1293,                 67.135,                 6.8616,              0.0016233,              0.0016233,              0.0016233
                      4,                 0.8682,                 1.0615,                 1.1618,                0.01299,                0.11362,                0.00401,                0.00241,                  2.683,                 115.85,                 17.531,              0.0016175,              0.0016175,              0.0016175
                      5,                0.76709,                0.82633,                  1.111,                 0.0032,                0.21956,                0.00152,                0.00098,                  2.146,                    inf,                 42.138,               0.001601,               0.001601,               0.001601
                      6,                0.78442,                 0.8393,                 1.1132,                0.91222,                 0.8495,                 0.9337,                0.80224,                0.60332,                 1.2245,                 0.9702,              0.0015845,              0.0015845,              0.0015845
                      7,                0.74933,                0.75813,                 1.1053,                0.94282,                0.86107,                 0.9445,                0.80969,                0.60642,                0.76626,                  1.008,               0.001568,               0.001568,               0.001568
                      8,                0.69515,                0.72449,                 1.0876,                0.90342,                0.87638,                0.93343,                0.79421,                0.58392,                0.96024,                0.96891,              0.0015515,              0.0015515,              0.0015515
                      9,                0.70518,                0.71311,                 1.0892,                0.90867,                0.90349,                0.94413,                0.82169,                0.52824,                 1.2405,                0.93435,               0.001535,               0.001535,               0.001535
                     10,                0.67151,                0.68218,                 1.0681,                0.95034,                0.94414,                0.96899,                0.86475,                0.48483,                 0.4689,                0.89409,              0.0015185,              0.0015185,              0.0015185
                     11,                0.65715,                0.63932,                 1.0491,                0.96547,                  0.944,                0.97472,                0.87658,                 0.4922,                0.48731,                0.88244,               0.001502,               0.001502,               0.001502
                     12,                0.65178,                0.58316,                 1.0485,                0.95444,                 0.9771,                0.96653,                0.84911,                0.48253,                0.55832,                0.89922,              0.0014855,              0.0014855,              0.0014855
                     13,                 0.6292,                0.59144,                 1.0413,                0.93222,                0.94551,                0.97038,                0.85165,                0.51859,                0.47334,                0.90152,               0.001469,               0.001469,               0.001469
                     14,                0.62274,                0.58919,                 1.0374,                0.93248,                0.94575,                0.97411,                0.86905,                0.48519,                0.48369,                0.88712,              0.0014525,              0.0014525,              0.0014525
                     15,                0.62728,                0.60638,                 1.0586,                0.91502,                0.93752,                0.95598,                0.84494,                0.48169,                0.60147,                0.90318,               0.001436,               0.001436,               0.001436
                     16,                0.60017,                0.55316,                 1.0042,                0.94632,                0.97822,                0.96819,                0.85914,                0.49122,                0.52233,                0.88755,              0.0014195,              0.0014195,              0.0014195
                     17,                0.58154,                0.55578,                 1.0149,                0.97552,                0.95095,                0.97622,                0.88559,                0.45259,                0.41489,                0.87117,              0.0014029,              0.0014029,              0.0014029
                     18,                0.56146,                0.56003,                 1.0037,                0.93652,                0.97178,                 0.9631,                0.86962,                0.45419,                0.50399,                0.85552,              0.0013864,              0.0013864,              0.0013864
                     19,                 0.5297,                0.50504,                0.97801,                   0.92,                0.91057,                0.96465,                0.89549,                 0.4142,                0.45802,                0.84692,              0.0013699,              0.0013699,              0.0013699
                     20,                 0.5617,                0.51976,                 1.0023,                 0.9425,                0.96679,                0.98078,                0.89527,                0.45366,                0.41788,                0.86409,              0.0013534,              0.0013534,              0.0013534
                     21,                0.57277,                0.51666,                 1.0055,                 0.9621,                0.95789,                0.97441,                0.88758,                0.43762,                0.49198,                0.85874,              0.0013369,              0.0013369,              0.0013369
                     22,                0.54233,                0.47753,                 0.9784,                0.96111,                0.97222,                0.98344,                0.88042,                0.44784,                0.43689,                0.87166,              0.0013204,              0.0013204,              0.0013204
